sentence_id,homograph,homograph_index,pos,sentence,homograph_pronunciation
1941656,as,15,AUX,"Dans le même genre tu as Rome , tu kifferas sans doute si t ' as pas vu .",a
1981087,as,11,AUX,"; ) J ' espère que ce nouveau tuto t ' as plu , Chouquette !",a
1421035,as,17,AUX,Tu m ' as remonté le moral quand j ' en avais besoin et tu m ' as redonner gout à la vie .,a
54745,as,13,AUX,"-- Alors , des vaches , tu dis , qu ' t ' as vues , là-bas d ' où c ' que tu d ' viens ?",a
1723919,as,1,AUX,"Tu as trouvé comment retirer ce flou , l ' image que tu as corrigée est bien meilleure .",a
1256065,as,1,AUX,Tu as fait le choix d ' acter ta propre mort en y entraînant tes enfants qui t ' aiment sans que l ' on sache pourquoi ?,a
1808782,as,4,AUX,"Malgré tout , tu as passé un bon week end de Pâques ?",a
1464534,as,1,AUX,"Tu as grandi en France , tu as étais éduqué en France et tu acceptes ce qu ' aucune Femme au Maroc n ' accepterai .",a
1819810,as,7,AUX,"Le tu , comme tu l ' as bien compris permet une distanciation .",a
1745150,as,14,AUX,"Je demande parce que , dans le fil sur l ' améthyque , tu as dit que ó se prononçait comme le "" ou "" français .",a
198573,as,18,AUX,"Dans l ' un des passages de la chanson , on entend en fond sonore : "" Tu as entendu ce que le docteur a dit ? """,a
38789,as,19,AUX,"Tu n ' avais guère de cervelle dans la _ couronne _ chauve de ton crâne , lorsque tu as laissé aller ta couronne d ' or .",a
1728911,as,9,AUX,"Mais à partir du moment où tu m ' as bloquée , je me suis promise de ne plus rien espérer et ne jamais reprendre cette relation qui nous a fait trop de mal à tous les deuxGladii dit : quand je disais que je voulais juste pas jeter une amitié , c ' était vraiment çaGladii dit : et j ' ai vachement évolué .",a
1887259,as,28,AUX,"Et ils chantaient un cantique nouveau , en disant : Tu es digne de prendre le livre , et d ' en ouvrir les sceaux ; car tu as été immolé , et tu as racheté pour Dieu par ton sang des hommes de toute tribu , de toute langue , de tout peuple , et de toute nation ; 66-5 : 10 . tu as fait d ' eux un royaume et des sacrificateurs pour notre Dieu , et ils régneront sur la terre .",a
1471324,as,11,AUX,"C ' est bon de lire que néanmoins tu n ' as pas perdu la foi , tu vas y arriver .",a
1450980,as,17,AUX,"Rose , on voit que tu avais un REEL désir d ' etre mère , donc tu as réalisé ton reve et c ' est super .",a
67102,as,7,AUX,"Tiens , Agrippa , tu m ' as donné le frisson ; monte et rentrons .",a
1449054,as,12,AUX,"ptite asiat : oui de 3 / 4 Lui : et tu as mis ton pied "" sous "" toi ?",a
1777113,as,1,AUX,"Tu as reussi a faire une superbe animation de bonne qualité , et le son c ' est beaucoup plus simple .",a
1736688,as,24,AUX,"Je ne savais pas trop comment réagir , j ' étais partagé entre le prendre comme un compliment , et "" Mais t ' as cru que mon cul est un espace public !",a
1964853,as,2,DET,T ' as premiere fois tu t ' en souviendras toute ta vie .,a
1983124,as,12,DET,"> Hm hm ... . C ' est vrai que t ' as première question était très bizarre XD Mais pour en revenir à ta vrai question , je n ' en ai pas de préféré mais plusieurs !",a
1285974,as,49,DET,"Tu veux dire "" t ' exprimer sur la forme "" parce que sur le fond c ' est pas du tout ca.Et donc tu trouves en toute honneter que tu peux te permettre de parler de l ' Islam alors que tu ne connait même pas t ' as religion ?",a
55116,as,10,DET,"Tantos nouvelles vinrent au roy Phelippe de France , et as signeurs de France , qui jà estoient à Amiens , que li rois d ' Engleterre estoit arrivés et venus à Boulongne .",a
1703818,as,6,DET,"En tout cas , t ' as chronique me donne encore plus envie .",a
1631064,as,9,DET,C ' est toujours plus simple que t ' as façon de faire que je viens de tester et qui ne m ' a pas permis de trouver l ' ID du village .,a
1893610,as,56,VERB,"Brawl , c ' est plus difficile à jouer ) Je n ' ai jamais joué à TP Wii ( j ' ai fini TP que sur GC ) mais ne t ' inquiète pas : à part quelques énigmes vraiment dures , le reste est bien dosé je trouve ; - ) et comme tu as le bouclier automatiquement en marche pendant la visée L .",a
1891950,as,12,VERB,"En revanche , si j ' ai une idée et que tu as toi aussi une idée , en les échangent , on aura chacun deux idées ... La chaine YouTube de France Survivalistes ainsi que son Blog.ConnexionNom d ' utilisateur : Mot de passe : Connexion automatique : : : Récupérer mon mot de passeRechercher Interne GoogleRésultats par : Messages Sujets Recherche avancéeDerniers sujets "" la fin de l ' argent liquide .",a
1828373,as,2,VERB,Si tu as l ' occasion de passer tu peux laisser un mot si tu le souhaites .,a
1912580,as,12,VERB,"Le principe est que sur chaques petit papier rouler , il y as une consigne scrap que j ' ai écrit dessus , comme ca en cas de manque d ' inspiration il me suffi de piocher dedans le nombre de .",a
1700988,as,1,VERB,"Tu as raison de préciser que c ' est pas le but de la grande majorité des patrons que d ' écraser leurs employés , c ' est la structure rationnelle qui pose problème .",a
1300770,as,19,VERB,"Et de plus , j ' ai l ' impression ( au travers de tes écrits ) que tu as un moral de fer .",a
1540634,as,27,VERB,"Pour le grignottage ( qui était aussi mon problème ) , fais-toi des en-cas dudu ( il y a des tas de recettes ) et si tu as faim , manges .",a
57075,as,37,VERB,"J ' ai laissé les encadrements , les peintures d ' ornement ; et je t ' ai si bien recommandé , soit au comte , soit à Grindot l ' architecte , que tu n ' as qu ' à prendre tes brosses et à venir .",a
1336021,as,13,VERB,"Je constate aussi que lorsque t ' es fourrée , que t ' as pas d ' arguments , que ton gourou est absent ( je tiens à spécifier que ce n ' est aucunement de la faute de David si quelqu ' une le prend comme gourou ) tu commences à traiter les autres de noms .",a
1712907,as,1,VERB,"Tu as raison , le temps passe si vite lorsque l ' on devient môman !",a
1655204,as,10,VERB,"Là , toi tu fais l ' inverse , tu as l ' air connecté avec wlan0 et tu démarres une interface monitor sur wlan1 ... L ' un ou l ' autre moi je m ' en fous mais faut juste qu ' on se mette d ' accord .",a
1544230,as,11,VERB,"Moustillon bienvenue également , tu trouveras ici le réconfort dont tu as besoin .",a
2018792,as,5,VERB,"Non , tu n ' as pas de mirage visuel , tu as bien lu "" une dégustation gratuite "" .",a
1994496,as,45,VERB,"Je l ' utilise tous les jours et moi , qui aime tant porter des vêtements rétros années 60-70 en polyester , ce déodorant est très efficace et en plus c ' est BIO et éco-responsable ( puisque dans un petit pot , tu en as pour des mois ! )",a
1978224,as,29,VERB,"Environ 3 mois après le début de mon stage , mon patron m ' a demandé pour rigoler "" Hey , vu le nombre de visiteurs que t ' as , tu pourrais te faire ton propre site ! """,a
1442477,as,9,VERB,Je lui demanderai : Qu ' est-ce que tu as et qui es-tu ?,a
1353982,as,21,VERB,"Ça tourne tout seul , j ' ai plus rien à faire ... - Non c ' est faux , tu as plein de truc à y faire , je suis sûre que les gens se sentiraient perdu si tu y était pas ET les Dumarchan trop fièrs que tu quittes ... Mais si tu fais rien , tu fais quoi dans le bureau tout la nuit ?",a
1999276,as,35,VERB,"Prend le à pleine main parce que il y a autre chose qu ' il ne faut pas oublier : au retour de la marchandise remplacée ou même réparée , à la réimportation , tu as une seconde chance de repayer les taxes sur la valeur du produit .",a
1321281,as,3,VERB,"Tu n ' as qu ' à reprendre ton post et les numéroter et je mettrais comme nom "" Voyager solitaire "" .",a
1421697,as,6,VERB,Je sais écouter ce que tu as à me dire et trouver des petits jeux pour apprendre tout en s' amusant .,a
1192733,adoptions,4,NFP,"Il demeure que les adoptions doivent être des gestes bien réfléchis , car conservez à l ' esprit que c ' est pour la vie !",a d ɔ p s j ɔ̃
1189721,adoptions,20,NFP,"À notre avis , les écrits de ce directeur impliqué permettent d ' établir une liaison entre le Service des adoptions de la Crèche et la Sauvegarde de l ' enfance dans les faits .",a d ɔ p s j ɔ̃
1191870,adoptions,60,NFP,"Un autre chiffre serait encore plus utile pour déterminer l ' efficacité de votre département en matière d ' adoption , il n ' est publié nulle part , et pour l ' obtenir il faut faire le rapport entre deux données que l ' on peut retrouver assez facilement : il s' agit du rapport du nombre d ' adoptions réalisées chaque année dans le département divisé par le nombre d ' agrément délivrés chaque année par le même département ... . Ainsi , on peut penser que dans les départements qui auraient un pourcentage élevé pour cette équation , les candidats sont bien formés , bien préparés , bien entourés , et peuvent plus facilement menés leur projet à terme , tandis que dans les cas , où ce rapport serait bas , on peut penser que les agréments sont peut être délivrés un peu trop facilement et / ou sans véritable aide et formation aux postulants .",a d ɔ p s j ɔ̃
1191380,adoptions,8,NFP,"En cas de naissances gémellaires ou d ' adoptions simultanées de deux ou plusieurs enfants , une seule période de non-activité de deux mois est exigée pour que l ' ensemble de ces enfants soit pris en compte .",a d ɔ p s j ɔ̃
1191577,adoptions,13,NFP,"C ' est le contraire qui est arrivé , les années suivantes les adoptions ont chuté de 20 % .",a d ɔ p s j ɔ̃
1192449,adoptions,10,NFP,"Toujours plus d ' abandons , toujours moins d ' adoptions .",a d ɔ p s j ɔ̃
1191135,adoptions,30,NFP,D ' autres ont suspendu l ' adoption suite à des catastrophes naturelles et sont dans l ' attente de la création d ' une autorité centrale qui gèrera les adoptions .,a d ɔ p s j ɔ̃
1190851,adoptions,7,NFP,"--- ... URGENCES EUTHANASIES , SAUVETAGES , ADOPTIONS , FAMILLES D ' ACCUEIL , MANIFESTATIONS Cliquez ici .",a d ɔ p s j ɔ̃
1191087,adoptions,6,NFP,"Informations , conseils , bavardages , adoptions et bien d ' autres encore !",a d ɔ p s j ɔ̃
1191718,adoptions,16,NFP,"Ça a assez mal commencé , avec un graphique qui montrait que le nombre d ' adoptions était en chute libre , et que les adotpions locales ( notre option # 1 ) étaient de loin les moins fréquentes .",a d ɔ p s j ɔ̃
1189046,adoptions,4,NFP,"Au Cambodge , les adoptions internationales ont été relativement nombreuses à la fi n des années 1990 et au début de la présente décennie ( 270 adoptions françaises en 2002 , 250 en 2003 ) , puis de plus en plus réduites à partir de , dès lors que les principaux États d accueil ( États-Unis , Royaume-Uni , Pays-Bas , France ) , prenant la mesure des nombreuses dérives constatées 1 et d ailleurs publiquement dénoncées ( témoignage en 2002 de la Ligue cambodgienne de défense des droits de l homme devant la Chambre des Représentants américaine ; publication en 2005 du rapport d une enquête cofi nancée par HoltInternational et l USAID ) , ont limité voire quasiment interdit l action de leurs organismes autorisés et mis fi n ou tenter de mettre fi n , par des refus de délivrance de visa , à de nombreuses adoptions illégales effectuées par la voie des démarches individuelles .",a d ɔ p s j ɔ̃
1188950,adoptions,11,NFP,"D ' autre part , il y a davantage d ' adoptions au sein de ces États "" , explique Didier Dehou , responsable de la Direction de l ' adoption .",a d ɔ p s j ɔ̃
1191053,adoptions,1,NFP,... ADOPTIONS CHATS & CHATONS : TOUS LES SAMEDIS ( PARIS X ) + 2 DIMANCHES / MOIS ( PARIS XV ) Cliquez ici .,a d ɔ p s j ɔ̃
1189960,adoptions,29,NFP,"Ainsi , pour le Canada , la diminution des adoptions internationales en Chine ( moins 37,5 % ) est même la principale explication à la diminution générale de ses adoptions internationales .",a d ɔ p s j ɔ̃
1193231,adoptions,26,NFP,"Nous habitons les Bouches-du-Rhône , et malgré la distance c ' est dans ce refuge que nous nous rendons et nous y avons fait deux magnifiques adoptions .",a d ɔ p s j ɔ̃
1190432,adoptions,21,NFP,Cette analyse a permis pour la première fois de repérer les adoptions intrafamiliales au sein d ' un échantillon d ' adoptions québécoises et de cerner leurs spécificités .,a d ɔ p s j ɔ̃
1191261,adoptions,1,NFP,Ces adoptions privées sont loin de bénéficier de garanties analogues à celles des adoptions par OAA .,a d ɔ p s j ɔ̃
1189546,adoptions,15,NFP,Un des objectifs de l ' association est de pouvoir rendre la loi sur les adoptions plus transparente .,a d ɔ p s j ɔ̃
152080,adoptions,15,NFP,"En , elle s' est rendue au Tchad pour démêler l ' affaire autour des adoptions de l ' association l ' Arche de Zoé .",a d ɔ p s j ɔ̃
1188907,adoptions,6,NFP,Je disais que 80 % des adoptions par les familles françaises sont faites à l ' étranger .,a d ɔ p s j ɔ̃
1191311,adoptions,0,PROPN,ADOPTIONS est une BD autobiographique de Guillaume Grimonprez .,a d ɔ p s j ɔ̃
1189757,adoptions,0,PROPN,"ADOPTIONS CHATS STERILISATION Site créé avec sitego.fr 2017 , tous droits réservés .",a d ɔ p s j ɔ̃
1190275,adoptions,14,PROPN,"Les annonces de chacun , plus complètes sont aussi visibles dans l ' onglet Adoptions puis dans la région de l ' animal .",a d ɔ p s j ɔ̃
1190939,adoptions,9,PROPN,Vous pouvez trouver toutes les informations détaillées sur les Adoptions De Nouveaux Produits sur Lightinthebox .,a d ɔ p s j ɔ̃
1191147,adoptions,4,PROPN,"Dans la rubrique "" Adoptions Autres Animaux "" , on trouve souvent des cochons d ' Inde en détresse .",a d ɔ p s j ɔ̃
1192533,adoptions,66,PROPN,"Les autorités Vietnamiennes ont décidé de donner la priorité aux adoptants vietnamiens durant 60 jours avant de prendre en considération les dossiers d ' adoption internationale.De plus , elles ont décidé de proposer à l ' adoption internationale en priorité les enfants "" à besoins spécifiques "" selon l ' article 3 du décret d ' application de la loi précitée ( voir notre rubrique "" Adoptions "" ) et n ' acceptent plus que les dossiers des postulants disposés à adopter des enfants EBS .",a d ɔ p s j ɔ̃
1191980,adoptions,93,PROPN,"Orientations pour une éventuelle participation au 6ème Forum Mondial de l ' eau à Marseille du 12 au 17 mars Information - Décision - Autorisation / 0948 Eau Industrielle - Régie à simple autonomie financière - Fixation du prix de l ' eau pour l ' année Décisions - Autorisations / 0949 Détermination des forfaits branchements assainissement - Année Adoption - Autorisation / 0950 Régie du SPANC - Fixation du montant des redevances pour l ' année Décision - Autorisation / 0951 Fixation de la redevance assainissement part communautaire pour l ' année Adoptions - Autorisation / 0952 Politique de l ' eau - Document cadre - Décision - Approbation / 0953 Défi Territorial - Nappes profondes de Gironde - Participation financière de l ' agence de l ' eau Adour Garonne - Maintien des charges des industriels - Années 2011 / Sollicitation d ' aide - Conventions - Décision - Autorisation / 0954 Partenariat de la CUB avec des structures de l ' économie solidaire en matière de gestion des déchets - Conventions - Décisions - Autorisation / 0955 Mois de l ' économie sociale et solidaire Remise des 3 prix "" coup de coeur de l ' initiative sociale et solidaire "" par la CUB - Décision - Autorisation 46711 2011 / 0956 Partenariat avec COOP & BAT , coopérative d ' activité et d ' emploi dédiée aux métiers du Bâtiment - Programme d ' actions Subvention de la Communauté urbaine - Convention - Décision - Autorisation / 0957 FARL - Congrès des Trente ans des Radios Libres du 08 au 10 / 11 / Demande de subvention - Convention - Décision - Autorisation / 0958 Saint Médard en Jalles - Aménagement des bords de jalle dans le cadre du parc des Jalles - Fonds de concours Décision - Convention - Autorisation / 0959 SPL Bordeaux Aéroparc - Désignation du représentant de la Communauté urbaine de Bordeaux à l ' assemblée Générale 48312 PRESIDENT Inspection générale et audit DELIBERATION DU CONSEIL SEANCE DU 16 décembre 2011 N 2011 / 0855 Rapport des administrateurs sur les Sociétés d ' economie Mixte au titre de la loi du 2 janvier 2002-GERTRUDE - SAEM - Exercice 2010 Monsieur SAINTE-MARIE présente le rapport suivant , Mesdames , Messieurs Le présent rapport se propose de faire un point synthétique sur la Société GERTRUDE-SAEM , Société d économie mixte , dont la Communauté Urbaine est le premier actionnaire avec 51 % du capital .",a d ɔ p s j ɔ̃
1188877,adoptions,17,PROPN,J ' aimerais que l ' argent gagné puisse être reversé vers d ' autres associations comme Adoptions sans frontière ou Les chats oubliés de Carcassonne ... Donc il faut voter nombreux !,a d ɔ p s j ɔ̃
1193301,adoptions,10,PROPN,Ce dernier déplore le ton alarmiste employé par la page Adoptions félines Bas-Saint-Laurent qui donne une image négative d ' un service qui fonctionne à livre ouvert .,a d ɔ p s j ɔ̃
1191071,adoptions,7,PROPN,"Elle a publié chez divers éditeurs : Adoptions , Ethnologie des parents choisis ( 1998 ) , A chacun sa famille ?",a d ɔ p s j ɔ̃
1193300,adoptions,20,PROPN,"Le directeur du service incendie Éric Bérubé a qualifié de "" propagande haineuse "" , les publications de la page Adoptions félines Bas-St-Laurent , par la voix de Daisy Boucher-Lafrance , qui relaie les informations des animaux à adopter à la fourrière sur un ton alarmiste .",a d ɔ p s j ɔ̃
1191967,adoptions,4,PROPN,"Dans la rubrique "" Adoptions autres animaux "" , on trouve souvent des cochons d ' Inde en détresse .",a d ɔ p s j ɔ̃
1190779,adoptions,8,PROPN,Les médias ont fait croire que le dossier Adoptions en Haïti était clos .,a d ɔ p s j ɔ̃
1189921,adoptions,3,XFAMIL,"Mercy , Mercy Adoptions forcées en Flandre 100 000 enfants pauvres ont été placés de force ... La fausse mère d ' une belge arrêtée .",a d ɔ p s j ɔ̃
152206,adoptions,13,XFAMIL,"Cory Everson est depuis active auprès de l ' agence "" Nightlight Christian Adoptions "" , qui fait venir des orphelins de Russie et de Biélorussie aux États-Unis .",a d ɔ p s j ɔ̃
1190559,adoptions,3,XFAMIL,"Mercy , Mercy Adoptions forcées en Flandre 100 000 enfants pauvres ont été placés de force ... La fausse mère d ' une belge arrêtée .",a d ɔ p s j ɔ̃
1190327,adoptions,56,XFAMIL,"Et nous souhaitons également trouver des familles aux chats qui sont déjà sous notre aile Merci de votre compréhension A ce jour , 654 chats sauvés , 561 adoptés , 65 décès , 13 en FA définitive , et surtout 15 loulous qui vous attendent : Sur notre forum : notre site : notre page Facebook Adoptions : Rappel : je tenais à vous rappeler que le travail effectué par les familles d ' accueil et moi même est totalement bénévole , nous effectuons cette activité sur notre temps personnel , nous avons donc pas toujours le temps de répondre à vos demandes quand elles nous sont faites , nous essayons de faire au mieux en fonction des urgences .",a d ɔ p s j ɔ̃
1190564,adoptions,3,XFAMIL,"Mercy , Mercy Adoptions forcées en Flandre 100 000 enfants pauvres ont été placés de force ... La fausse mère d ' une belge arrêtée .",a d ɔ p s j ɔ̃
1191820,adoptions,4,VERB,Je souhaite que nous adoptions la position la plus démocratique et susceptible de nous rassembler .,a d ɔ p t j ɔ̃
